brand,form_factor,screen_in,ram_gb,weight_kg,ssd_gb,hdd_gb,storage_total_gb,has_ssd,res_w,res_h,ppi,is_touch,is_ips,is_retina,cpu_brand,cpu_tier,cpu_ghz,gpu_brand,os_group,price_inr,price_usd
Asus,Notebook,14.0,2.0,1.65,0.0,0.0,32.0,0,1366,768,111.93520355955211,0,0,0,AMD,Other,1.5,AMD,Windows,10602.72,127.74
HP,Notebook,17.3,4.0,2.71,0.0,500.0,500.0,0,1920,1080,127.33567457123111,0,0,0,AMD,Other,2.5,AMD,Windows,23389.92,281.81
Dell,Ultrabook,13.3,16.0,1.2,512.0,0.0,512.0,1,3200,1800,276.053530085501,1,0,0,Intel,Core i7,1.8,Intel,Windows,99580.32,1199.76
Apple,Ultrabook,13.3,8.0,1.35,0.0,0.0,256.0,0,1440,900,127.67794013309688,0,0,0,Intel,Core i5,1.6,Intel,macOS,53173.439999999995,640.64
Lenovo,Notebook,14.0,4.0,1.44,0.0,0.0,64.0,0,1366,768,111.93520355955211,0,0,0,Intel,Celeron,1.1,Intel,Windows,13266.72,159.84
Acer,Notebook,15.6,4.0,2.1,0.0,1000.0,1000.0,0,1366,768,100.45466986113651,0,0,0,Intel,Core i3,2.7,Intel,Linux/Other,19553.76,235.59
Dell,Notebook,17.3,8.0,2.8,128.0,1000.0,1128.0,1,1920,1080,127.33567457123111,0,1,0,Intel,Core i5,1.6,AMD,Windows,52161.119999999995,628.45
HP,Notebook,15.6,4.0,1.86,0.0,1000.0,1000.0,0,1366,768,100.45466986113651,0,0,0,Intel,Core i5,2.5,Intel,Windows,26037.403199999997,313.7
HP,Notebook,15.6,8.0,2.1,256.0,0.0,256.0,1,1920,1080,141.21199808219862,0,0,0,Intel,Core i5,1.6,Nvidia,Windows,46833.119999999995,564.25
Asus,Notebook,15.6,4.0,2.0,0.0,1000.0,1000.0,0,1920,1080,141.21199808219862,0,0,0,Intel,Core i3,2.0,Intel,Linux/Other,20725.92,249.71
Dell,Gaming,15.6,16.0,2.65,256.0,1000.0,1256.0,1,1920,1080,141.21199808219862,0,1,0,Intel,Core i7,2.8,Nvidia,Windows,79866.72,962.25
Asus,Notebook,15.6,8.0,2.3,0.0,1000.0,1000.0,0,1366,768,100.45466986113651,0,0,0,Intel,Core i5,2.5,Nvidia,Linux/Other,27864.9072,335.72
Acer,Notebook,15.6,4.0,2.2,256.0,0.0,256.0,1,1920,1080,141.21199808219862,0,1,0,Intel,Core i5,1.6,Intel,Windows,36336.96,437.79
Dell,2 in 1 Convertible,17.3,12.0,2.77,0.0,1000.0,1000.0,0,1920,1080,127.33567457123111,1,0,0,Intel,Core i5,1.6,Nvidia,Windows,53226.72,641.29
Apple,Ultrabook,13.3,8.0,1.37,256.0,0.0,256.0,1,2560,1600,226.98300468106115,0,1,1,Intel,Core i5,2.0,Intel,macOS,75604.31999999999,910.9
Lenovo,Notebook,15.6,4.0,2.2,128.0,0.0,128.0,1,1366,768,100.45466986113651,0,0,0,Intel,Core i3,2.0,Intel,No OS,19660.32,236.87
Asus,Gaming,17.3,8.0,3.2,256.0,1000.0,1256.0,1,1920,1080,127.33567457123111,0,0,0,AMD,Ryzen,3.0,AMD,Windows,69210.72,833.86
Dell,Notebook,15.6,4.0,2.3,256.0,0.0,256.0,1,1920,1080,141.21199808219862,0,0,0,Intel,Core i5,2.5,AMD,Windows,34045.92,410.19
Asus,Notebook,17.3,4.0,2.8,0.0,1000.0,1000.0,0,1366,768,90.58340172449303,0,0,0,Intel,Pentium,1.1,Nvidia,Windows,24828.48,299.14
Lenovo,2 in 1 Convertible,10.1,4.0,0.69,0.0,0.0,64.0,0,1920,1200,224.17380907857276,1,1,0,Intel,Atom,1.44,Intel,Linux/Other,16996.32,204.77
Acer,Notebook,15.6,8.0,2.2,256.0,0.0,256.0,1,1920,1080,141.21199808219862,0,1,0,Intel,Core i7,1.8,Nvidia,Windows,44808.48,539.86
HP,Notebook,15.6,4.0,1.86,256.0,0.0,256.0,1,1920,1080,141.21199808219862,0,0,0,AMD,Other,2.5,AMD,Windows,21231.5472,255.8
HP,Notebook,13.3,8.0,1.49,512.0,0.0,512.0,1,1920,1080,165.6321180513006,0,0,0,Intel,Core i7,1.8,Intel,Windows,58767.84,708.05
Acer,Notebook,15.6,4.0,2.4,0.0,1000.0,1000.0,0,1366,768,100.45466986113651,0,0,0,Intel,Core i3,2.4,Intel,Windows,20459.52,246.5
Dell,Notebook,15.6,8.0,2.13,256.0,0.0,256.0,1,1920,1080,141.21199808219862,0,0,0,Intel,Core i7,1.8,AMD,Windows,40908.384,492.87
HP,Notebook,15.6,4.0,1.91,128.0,0.0,128.0,1,1920,1080,141.21199808219862,0,0,0,Intel,Core i3,2.0,Intel,Windows,23389.92,281.81
Asus,Notebook,15.6,4.0,2.0,256.0,0.0,256.0,1,1366,768,100.45466986113651,0,0,0,Intel,Core i5,2.5,Intel,Windows,31232.203200000004,376.29
MSI,Gaming,17.3,16.0,2.43,256.0,2000.0,2256.0,1,1920,1080,127.33567457123111,0,0,0,Intel,Core i7,2.8,Nvidia,Windows,130482.72,1572.08
Asus,Notebook,15.6,4.0,2.0,256.0,0.0,256.0,1,1920,1080,141.21199808219862,0,0,0,Intel,Core i3,2.0,Intel,Linux/Other,22111.2,266.4
Dell,Notebook,17.3,16.0,2.8,256.0,2000.0,2256.0,1,1920,1080,127.33567457123111,0,0,0,Intel,Core i7,1.8,AMD,Windows,69210.72,833.86
Dell,Ultrabook,14.0,8.0,1.7,256.0,0.0,256.0,1,1920,1080,157.3505121487356,0,0,0,Intel,Core i5,1.6,Intel,Windows,46833.119999999995,564.25
Lenovo,Notebook,14.0,8.0,1.7,256.0,0.0,256.0,1,1920,1080,157.3505121487356,0,1,0,Intel,Core i3,2.7,Intel,No OS,31914.72,384.51
Asus,Notebook,14.0,8.0,1.4,256.0,0.0,256.0,1,1920,1080,157.3505121487356,0,0,0,Intel,Core i5,1.6,Intel,Windows,50136.48,604.05
HP,Notebook,15.6,8.0,1.86,256.0,0.0,256.0,1,1920,1080,141.21199808219862,0,0,0,Intel,Core i5,2.5,Intel,Windows,36763.2,442.93
Asus,Ultrabook,15.6,16.0,1.8,512.0,0.0,512.0,1,1920,1080,141.21199808219862,0,0,0,Intel,Core i7,2.8,Nvidia,Windows,105654.24,1272.94
HP,Notebook,15.6,4.0,1.86,0.0,500.0,500.0,0,1366,768,100.45466986113651,0,0,0,Intel,Core i3,2.0,AMD,Windows,23373.4032,281.61
HP,Notebook,14.0,4.0,1.44,32.0,0.0,32.0,1,1366,768,111.93520355955211,0,0,0,Intel,Celeron,1.6,Intel,Windows,12201.12,147.0
Lenovo,Notebook,15.6,4.0,1.9,0.0,1000.0,1000.0,0,1920,1080,141.21199808219862,0,0,0,Intel,Core i5,2.5,Intel,Windows,29250.72,352.42
Asus,Gaming,17.3,12.0,3.0,0.0,1000.0,1000.0,0,1920,1080,127.33567457123111,0,0,0,Intel,Core i7,2.8,Nvidia,Linux/Other,50562.72,609.19
Microsoft,Ultrabook,13.5,4.0,1.252,128.0,0.0,128.0,1,2256,1504,200.84255993695703,1,0,0,Intel,Core i5,2.5,Intel,Windows,58021.92,699.06
Dell,Ultrabook,13.3,8.0,1.4,256.0,0.0,256.0,1,1920,1080,165.6321180513006,0,1,0,Intel,Core i7,1.8,AMD,Windows,50882.4,613.04
Dell,Notebook,15.6,8.0,2.2,256.0,0.0,256.0,1,1920,1080,141.21199808219862,0,0,0,Intel,Core i7,1.8,AMD,Windows,46353.6,558.48
MSI,Gaming,17.3,8.0,2.7,128.0,1000.0,1128.0,1,1920,1080,127.33567457123111,0,0,0,Intel,Core i5,2.5,Nvidia,Windows,58341.6,702.91
Acer,Notebook,14.0,8.0,2.1,0.0,1000.0,1000.0,0,1366,768,111.93520355955211,0,0,0,Intel,Core i3,2.0,Intel,Windows,20725.92,249.71
Asus,Gaming,15.6,8.0,2.2,0.0,1000.0,1000.0,0,1920,1080,141.21199808219862,0,0,0,Intel,Core i7,2.8,Nvidia,Windows,50562.72,609.19
Lenovo,Notebook,15.6,8.0,2.2,0.0,2000.0,2000.0,0,1920,1080,141.21199808219862,0,0,0,Intel,Core i5,2.5,Intel,No OS,27652.32,333.16
Dell,Notebook,15.6,8.0,2.02,128.0,1000.0,1128.0,1,1920,1080,141.21199808219862,0,0,0,Intel,Core i7,1.8,Intel,Windows,45554.4,548.85
Acer,Notebook,15.6,4.0,2.2,0.0,1000.0,1000.0,0,1920,1080,141.21199808219862,0,0,0,Intel,Core i3,2.7,Nvidia,Windows,28238.4,340.22
HP,Notebook,17.3,8.0,2.5,128.0,1000.0,1128.0,1,1920,1080,127.33567457123111,0,0,0,Intel,Core i5,1.6,Nvidia,Windows,52054.56,627.16
Dell,Ultrabook,15.6,8.0,1.88,256.0,0.0,256.0,1,1920,1080,141.21199808219862,0,1,0,Intel,Core i5,1.6,Intel,Windows,58403.4048,703.66
Apple,Ultrabook,12.0,8.0,0.92,512.0,0.0,512.0,1,2304,1440,226.41554716935852,0,1,1,Intel,Core i5,1.3,Intel,macOS,80452.8,969.31
HP,Notebook,14.0,8.0,1.63,256.0,0.0,256.0,1,1920,1080,157.3505121487356,0,0,0,Intel,Core i5,1.6,Intel,Windows,45820.8,552.06
Lenovo,Notebook,15.6,4.0,2.2,128.0,0.0,128.0,1,1920,1080,141.21199808219862,0,0,0,AMD,Other,2.5,AMD,Windows,21258.72,256.13
Acer,Notebook,15.6,4.0,2.1,0.0,1000.0,1000.0,0,1366,768,100.45466986113651,0,0,0,AMD,Other,3.0,AMD,Windows,21045.6,253.56
Dell,Gaming,15.6,16.0,2.65,128.0,1000.0,1128.0,1,1920,1080,141.21199808219862,0,1,0,Intel,Core i7,2.8,Nvidia,Windows,71874.72,865.96
HP,Ultrabook,15.6,8.0,1.83,256.0,0.0,256.0,1,1920,1080,141.21199808219862,0,1,0,Intel,Core i7,1.8,Nvidia,Windows,37242.72,448.71
HP,Notebook,15.6,8.0,1.96,256.0,0.0,256.0,1,1920,1080,141.21199808219862,0,0,0,Intel,Core i5,2.5,Intel,Windows,31914.1872,384.51
Asus,Gaming,15.6,16.0,2.2,128.0,1000.0,1128.0,1,1920,1080,141.21199808219862,0,1,0,Intel,Core i7,2.8,Nvidia,Windows,77202.72,930.15
Dell,Ultrabook,13.3,8.0,1.21,256.0,0.0,256.0,1,1920,1080,165.6321180513006,0,1,0,Intel,Core i7,1.8,Intel,Windows,87858.72,1058.54
Asus,Gaming,15.6,8.0,2.45,0.0,1000.0,1000.0,0,1920,1080,141.21199808219862,0,0,0,AMD,Other,3.0,AMD,Windows,37242.72,448.71
Acer,Notebook,15.6,8.0,2.2,0.0,1000.0,1000.0,0,1920,1080,141.21199808219862,0,0,0,Intel,Core i7,1.8,Nvidia,Windows,36709.92,442.29
HP,Notebook,13.3,16.0,1.49,512.0,0.0,512.0,1,1920,1080,165.6321180513006,0,0,0,Intel,Core i7,1.8,Intel,Windows,63776.16,768.39
Dell,Gaming,15.6,8.0,2.65,256.0,0.0,256.0,1,1920,1080,141.21199808219862,0,0,0,Intel,Core i5,2.5,Nvidia,Windows,63669.6,767.1
Asus,Ultrabook,14.0,8.0,1.25,256.0,0.0,256.0,1,1920,1080,157.3505121487356,0,0,0,Intel,Core i7,2.7,Intel,Windows,55890.72,673.38
Acer,2 in 1 Convertible,13.3,8.0,1.5,256.0,0.0,256.0,1,1920,1080,165.6321180513006,1,1,0,Intel,Core i5,1.6,Intel,Windows,45128.16,543.71
Dell,Notebook,15.6,8.0,2.2,0.0,1000.0,1000.0,0,1920,1080,141.21199808219862,0,0,0,Intel,Core i7,2.7,AMD,Linux/Other,31962.672,385.09
Dell,Notebook,15.6,4.0,2.2,256.0,0.0,256.0,1,1920,1080,141.21199808219862,0,0,0,Intel,Core i3,2.0,AMD,Linux/Other,25840.8,311.33
Asus,Notebook,15.6,6.0,2.0,256.0,0.0,256.0,1,1920,1080,141.21199808219862,0,0,0,Intel,Core i3,2.4,Nvidia,Windows,30742.56,370.39
HP,Gaming,15.6,12.0,2.62,128.0,1000.0,1128.0,1,1920,1080,141.21199808219862,0,1,0,Intel,Core i7,2.8,Nvidia,Windows,66546.72,801.77
HP,Notebook,15.6,8.0,1.91,256.0,0.0,256.0,1,1920,1080,141.21199808219862,0,0,0,Intel,Core i7,2.7,AMD,Windows,38308.32,461.55
HP,Notebook,15.6,4.0,2.1,0.0,500.0,500.0,0,1920,1080,141.21199808219862,0,0,0,AMD,Other,1.5,AMD,Windows,18594.72,224.03
Dell,Notebook,15.6,8.0,2.2,0.0,1000.0,1000.0,0,1920,1080,141.21199808219862,0,0,0,Intel,Core i5,1.6,AMD,Linux/Other,34472.159999999996,415.33
HP,Ultrabook,13.3,8.0,1.38,256.0,0.0,256.0,1,1920,1080,165.6321180513006,0,1,0,Intel,Core i7,2.7,Nvidia,Windows,59620.32,718.32
Microsoft,Ultrabook,13.5,8.0,1.252,256.0,0.0,256.0,1,2256,1504,200.84255993695703,1,0,0,Intel,Core i5,2.5,Intel,Windows,71395.2,860.18
HP,Notebook,14.0,6.0,1.58,256.0,0.0,256.0,1,1920,1080,157.3505121487356,0,1,0,Intel,Core i5,2.5,Nvidia,Windows,35111.52,423.03
Lenovo,Notebook,15.6,4.0,1.85,0.0,1000.0,1000.0,0,1920,1080,141.21199808219862,0,0,0,Intel,Core i3,2.0,Intel,Windows,22105.872,266.34
Asus,Ultrabook,14.0,8.0,1.3,256.0,0.0,256.0,1,1920,1080,157.3505121487356,0,1,0,Intel,Core i7,2.7,Nvidia,Windows,63563.04,765.82
MSI,Gaming,15.6,16.0,2.2,256.0,1000.0,1256.0,1,1920,1080,141.21199808219862,0,0,0,Intel,Core i7,2.8,Nvidia,Windows,69210.72,833.86
Lenovo,Notebook,14.0,8.0,1.58,256.0,0.0,256.0,1,1920,1080,157.3505121487356,0,1,0,Intel,Core i7,2.7,Intel,Windows,78854.4,950.05
Asus,Ultrabook,15.6,16.0,1.5,256.0,1000.0,1256.0,1,1920,1080,141.21199808219862,0,0,0,Intel,Core i7,1.8,Nvidia,Windows,67239.36,810.11
Dell,Ultrabook,13.3,8.0,1.23,256.0,0.0,256.0,1,3200,1800,276.053530085501,1,0,0,Intel,Core i7,2.4,Intel,Windows,73473.12,885.22
Lenovo,2 in 1 Convertible,13.3,8.0,1.37,256.0,0.0,256.0,1,1920,1080,165.6321180513006,1,1,0,Intel,Core i5,2.5,Intel,Windows,74538.72,898.06
HP,Notebook,14.0,4.0,1.63,0.0,500.0,500.0,0,1366,768,111.93520355955211,0,1,0,Intel,Core i5,1.6,Intel,Windows,38468.16,463.47
Dell,Ultrabook,13.3,8.0,1.21,256.0,0.0,256.0,1,1920,1080,165.6321180513006,0,1,0,Intel,Core i5,1.6,Intel,Windows,86793.12,1045.7
HP,2 in 1 Convertible,13.3,8.0,1.26,256.0,0.0,256.0,1,1920,1080,165.6321180513006,1,1,0,Intel,Core i5,1.6,Intel,Windows,74538.1872,898.05
HP,Notebook,14.0,8.0,1.63,512.0,0.0,512.0,1,1920,1080,157.3505121487356,0,0,0,Intel,Core i7,1.8,Intel,Windows,57755.52,695.85
Dell,Notebook,15.6,8.0,2.16,256.0,1000.0,1256.0,1,1920,1080,141.21199808219862,0,1,0,Intel,Core i7,1.8,Nvidia,Windows,60223.98239999999,725.59
Asus,Notebook,17.3,4.0,2.0,0.0,1000.0,1000.0,0,1920,1080,127.33567457123111,0,0,0,Intel,Core i3,2.0,Nvidia,Windows,30049.92,362.05
Asus,Notebook,15.6,8.0,1.7,256.0,0.0,256.0,1,1920,1080,141.21199808219862,0,0,0,Intel,Core i7,1.8,Nvidia,Windows,59567.04,717.68
Acer,Notebook,15.6,6.0,2.1,0.0,1000.0,1000.0,0,1920,1080,141.21199808219862,1,1,0,Intel,Core i3,2.4,Intel,Windows,25521.12,307.48
MSI,Gaming,15.6,16.0,1.8,256.0,2000.0,2256.0,1,1920,1080,141.21199808219862,0,0,0,Intel,Core i7,2.8,Nvidia,Windows,119427.12,1438.88
Lenovo,Notebook,15.6,8.0,2.2,256.0,0.0,256.0,1,1920,1080,141.21199808219862,0,0,0,Intel,Core i5,2.5,Nvidia,No OS,33513.119999999995,403.77
HP,Notebook,17.3,16.0,2.5,512.0,0.0,512.0,1,1920,1080,127.33567457123111,0,0,0,Intel,Core i7,1.8,Nvidia,Windows,67718.88,815.89
Acer,Notebook,15.6,4.0,2.1,256.0,0.0,256.0,1,1366,768,100.45466986113651,0,0,0,AMD,Other,3.0,AMD,Windows,24029.28,289.51
HP,Notebook,15.6,4.0,1.86,0.0,500.0,500.0,0,1366,768,100.45466986113651,0,0,0,Intel,Celeron,1.6,Intel,No OS,13799.52,166.26
HP,Notebook,14.0,8.0,1.63,0.0,1000.0,1000.0,0,1920,1080,157.3505121487356,0,0,0,Intel,Core i5,1.6,Intel,Windows,43263.36,521.25
Asus,Notebook,14.0,4.0,1.65,64.0,0.0,64.0,1,1366,768,111.93520355955211,0,0,0,AMD,Other,1.5,AMD,Windows,14811.3072,178.45
Dell,Notebook,17.3,16.0,2.8,256.0,2000.0,2256.0,1,1920,1080,127.33567457123111,0,0,0,Intel,Core i7,1.8,AMD,Windows,74378.87999999999,896.13
HP,Notebook,17.3,8.0,2.5,256.0,0.0,256.0,1,1920,1080,127.33567457123111,0,0,0,Intel,Core i5,1.6,Intel,Windows,49443.84,595.71
Dell,Notebook,15.6,8.0,2.36,0.0,1000.0,1000.0,0,1366,768,100.45466986113651,0,0,0,Intel,Core i5,2.5,AMD,Windows,34045.3872,410.19
Dell,Notebook,15.6,4.0,2.2,0.0,1000.0,1000.0,0,1920,1080,141.21199808219862,0,0,0,Intel,Core i3,2.0,AMD,Windows,23922.72,288.23
Acer,Ultrabook,14.0,8.0,1.6,256.0,0.0,256.0,1,1920,1080,157.3505121487356,0,1,0,Intel,Core i7,1.8,Intel,Windows,47099.52,567.46
Acer,Notebook,15.6,4.0,2.2,256.0,0.0,256.0,1,1920,1080,141.21199808219862,0,0,0,Intel,Core i3,2.7,Nvidia,Windows,30476.16,367.18
HP,Notebook,15.6,8.0,2.05,0.0,1000.0,1000.0,0,1366,768,100.45466986113651,0,0,0,Intel,Core i7,2.7,Intel,Windows,31861.44,383.87
HP,Notebook,14.0,8.0,1.63,256.0,0.0,256.0,1,1920,1080,157.3505121487356,0,0,0,Intel,Core i7,1.8,Intel,Windows,52640.64,634.22
Lenovo,Notebook,15.6,4.0,1.9,0.0,1000.0,1000.0,0,1366,768,100.45466986113651,0,0,0,Intel,Celeron,1.1,Intel,No OS,13445.7408,162.0
Asus,Gaming,17.3,8.0,3.0,128.0,1000.0,1128.0,1,1920,1080,127.33567457123111,0,0,0,Intel,Core i5,2.5,Nvidia,Windows,49976.64,602.13
Lenovo,Notebook,15.6,4.0,2.2,0.0,1000.0,1000.0,0,1920,1080,141.21199808219862,0,0,0,Intel,Core i5,2.5,Nvidia,No OS,26586.72,320.32
HP,Notebook,13.3,4.0,1.32,256.0,0.0,256.0,1,1920,1080,165.6321180513006,0,1,0,Intel,Core i5,2.5,Intel,Windows,37242.72,448.71
Acer,Notebook,17.3,4.0,3.0,0.0,1000.0,1000.0,0,1920,1080,127.33567457123111,0,1,0,Intel,Core i3,2.7,Nvidia,Windows,34898.4,420.46
Lenovo,Notebook,14.0,8.0,1.75,256.0,0.0,256.0,1,1920,1080,157.3505121487356,0,1,0,Intel,Core i5,1.6,AMD,Windows,59461.5456,716.4
Lenovo,Gaming,15.6,8.0,2.4,256.0,0.0,256.0,1,1920,1080,141.21199808219862,0,1,0,Intel,Core i7,2.8,Nvidia,No OS,46300.32,557.84
Toshiba,Notebook,15.6,4.0,2.1,0.0,500.0,500.0,0,1366,768,100.45466986113651,0,0,0,Intel,Core i5,2.3,Intel,Windows,32074.56,386.44
HP,Notebook,15.6,4.0,1.86,256.0,0.0,256.0,1,1366,768,100.45466986113651,0,0,0,AMD,Other,2.5,AMD,Windows,19660.32,236.87
Asus,Ultrabook,14.0,8.0,1.25,256.0,0.0,256.0,1,1920,1080,157.3505121487356,0,0,0,Intel,Core i7,1.8,Intel,Windows,58554.72,705.48
HP,Ultrabook,12.5,8.0,0.97,512.0,0.0,512.0,1,3840,2160,352.4651472131677,1,1,0,Intel,Other,1.2,Intel,Windows,107305.92,1292.84
Asus,Notebook,15.6,4.0,2.0,0.0,1000.0,1000.0,0,1920,1080,141.21199808219862,0,0,0,Intel,Celeron,1.1,Intel,Windows,18328.32,220.82
MSI,Gaming,17.3,16.0,2.9,256.0,1000.0,1256.0,1,1920,1080,127.33567457123111,0,0,0,Intel,Core i7,2.8,Nvidia,Windows,108105.12,1302.47
Acer,Notebook,15.6,4.0,2.1,0.0,1000.0,1000.0,0,1366,768,100.45466986113651,0,0,0,Intel,Core i3,2.0,Intel,Windows,23816.16,286.94
Dell,Gaming,15.6,16.0,2.56,512.0,0.0,512.0,1,1920,1080,141.21199808219862,0,0,0,Intel,Core i7,2.8,Nvidia,Windows,66560.5728,801.93
Dell,Gaming,15.6,8.0,2.62,0.0,0.0,1000.0,0,1920,1080,141.21199808219862,0,0,0,Intel,Core i7,2.8,Nvidia,Windows,47898.72,577.09
Lenovo,Notebook,15.6,4.0,1.9,128.0,0.0,128.0,1,1366,768,100.45466986113651,0,0,0,Intel,Core i5,2.5,Intel,Windows,26533.44,319.68
MSI,Gaming,17.3,16.0,2.8,256.0,1000.0,1256.0,1,1920,1080,127.33567457123111,0,0,0,Intel,Core i7,2.8,Nvidia,Windows,100699.2,1213.24
HP,Ultrabook,14.0,4.0,1.48,256.0,0.0,256.0,1,1920,1080,157.3505121487356,0,0,0,Intel,Core i5,2.7,Intel,Windows,57648.96,694.57
HP,Notebook,15.6,6.0,1.91,256.0,0.0,256.0,1,1920,1080,141.21199808219862,0,0,0,Intel,Core i5,1.6,AMD,Windows,32980.32,397.35
Lenovo,2 in 1 Convertible,14.0,4.0,1.74,256.0,0.0,256.0,1,1920,1080,157.3505121487356,1,1,0,Intel,Core i3,2.4,Intel,Windows,33513.119999999995,403.77
